Date,Open,High,Low,Close,Adj Close,Volume
2016-03-28,70.339996,70.68,69.699997,70.349998,70.349998,782800
2016-03-29,70.059998,72.629997,69.709999,72.470001,72.470001,923800
2016-03-30,72.529999,73.43,71.940002,72.010002,72.010002,616900
2016-03-31,72.0,73.550003,71.970001,72.690002,72.690002,996000
2016-04-01,72.57,73.459999,71.900002,73.019997,73.019997,564700
2016-04-04,73.300003,73.83000200000001,72.290001,73.339996,73.339996,606300
2016-04-05,72.91999799999999,73.059998,71.93,72.18,72.18,628900
2016-04-06,72.089996,73.58000200000001,71.910004,73.550003,73.550003,636100
2016-04-07,73.57,73.620003,72.300003,72.489998,72.489998,627200
2016-04-08,73.16999799999999,73.32,72.360001,73.059998,73.059998,377000
2016-04-11,73.25,74.209999,72.989998,73.32,73.32,420900
2016-04-12,73.370003,73.699997,72.709999,73.089996,73.089996,367500
2016-04-13,73.220001,73.489998,72.870003,73.089996,73.089996,502500
2016-04-14,73.160004,73.43,72.620003,73.129997,73.129997,317800
2016-04-15,72.980003,73.66999799999999,72.75,73.470001,73.470001,488100
2016-04-18,73.449997,74.029999,73.129997,73.629997,73.629997,580300
2016-04-19,74.07,74.129997,72.709999,72.900002,72.900002,433800
2016-04-20,73.41999799999999,74.029999,72.480003,73.550003,73.550003,906200
2016-04-21,73.730003,74.199997,73.040001,73.300003,73.300003,440800
2016-04-22,73.300003,73.879997,72.940002,73.870003,73.870003,702600
2016-04-25,73.790001,74.519997,73.540001,74.279999,74.279999,459600
2016-04-26,74.730003,75.16999799999999,74.050003,74.699997,74.699997,568000
2016-04-27,74.040001,74.989998,73.650002,74.779999,74.779999,448900
2016-04-28,74.41999799999999,75.739998,73.410004,73.699997,73.699997,871800
2016-04-29,75.050003,75.690002,70.029999,72.190002,72.190002,1508900
2016-05-02,72.559998,75.110001,72.389999,75.099998,75.099998,1374800
2016-05-03,74.099998,75.410004,73.970001,74.900002,74.900002,1097700
2016-05-04,74.400002,75.08000200000001,74.050003,74.800003,74.800003,802900
2016-05-05,74.360001,76.290001,74.260002,75.559998,75.559998,1268400
2016-05-06,75.050003,75.629997,73.849998,74.699997,74.699997,983100
2016-05-09,74.480003,76.519997,74.480003,75.58000200000001,75.58000200000001,930700
2016-05-10,76.300003,77.089996,75.989998,76.559998,76.559998,731500
2016-05-11,77.089996,77.190002,76.010002,76.33000200000001,76.33000200000001,632700
2016-05-12,76.400002,77.190002,75.139999,75.720001,75.720001,550300
2016-05-13,75.470001,76.800003,75.470001,76.08000200000001,76.08000200000001,478700
2016-05-16,76.400002,77.599998,76.360001,76.980003,76.980003,569000
2016-05-17,77.129997,77.32,75.760002,75.959999,75.959999,690800
2016-05-18,75.900002,77.110001,75.519997,76.029999,76.029999,1030700
2016-05-19,75.620003,77.089996,74.91999799999999,75.970001,75.970001,664000
2016-05-20,76.480003,78.25,76.139999,77.43,77.43,783600
2016-05-23,77.699997,78.279999,77.190002,77.379997,77.379997,1013700
2016-05-24,78.040001,78.940002,77.540001,78.779999,78.779999,808400
2016-05-25,78.83000200000001,79.459999,78.290001,79.0,79.0,951600
2016-05-26,79.019997,79.099998,78.059998,78.739998,78.739998,619200
2016-05-27,78.589996,79.58000200000001,78.290001,79.18,79.18,653000
2016-05-31,79.18,79.790001,78.720001,78.83000200000001,78.83000200000001,789300
2016-06-01,78.91999799999999,79.660004,78.449997,79.220001,79.220001,679300
2016-06-02,79.019997,79.639999,79.0,79.629997,79.629997,756500
2016-06-03,79.599998,79.599998,78.279999,78.400002,78.400002,897200
2016-06-06,78.410004,79.019997,77.910004,78.699997,78.699997,701800
2016-06-07,78.839996,79.300003,78.349998,78.839996,78.839996,518600
2016-06-08,78.970001,79.58000200000001,78.400002,79.370003,79.370003,481600
2016-06-09,79.099998,79.779999,78.980003,79.690002,79.690002,431400
2016-06-10,78.949997,79.239998,78.57,78.83000200000001,78.83000200000001,444300
2016-06-13,78.610001,79.559998,78.239998,78.25,78.25,414500
2016-06-14,78.0,79.120003,77.699997,78.959999,78.959999,376700
2016-06-15,79.389999,79.629997,78.949997,79.25,79.25,673600
2016-06-16,78.949997,79.58000200000001,78.309998,79.349998,79.349998,626600
2016-06-17,79.199997,79.660004,78.529999,79.16999799999999,79.16999799999999,756800
2016-06-20,80.16999799999999,81.0,79.610001,79.66999799999999,79.66999799999999,662800
2016-06-21,79.510002,79.940002,78.940002,79.339996,79.339996,627100
2016-06-22,79.389999,80.529999,78.839996,80.41999799999999,80.41999799999999,577400
2016-06-23,81.190002,81.980003,79.889999,81.82,81.82,647600
2016-06-24,78.849998,80.18,78.139999,79.0,79.0,850500
2016-06-27,78.33000200000001,79.239998,77.07,77.209999,77.209999,589300
2016-06-28,77.870003,78.650002,77.400002,78.620003,78.620003,642500
2016-06-29,79.349998,79.989998,78.959999,79.849998,79.849998,602900
2016-06-30,79.910004,80.57,79.370003,80.550003,80.550003,659900
2016-07-01,80.739998,82.57,80.309998,82.540001,82.540001,658700
2016-07-05,82.550003,82.629997,80.300003,80.870003,80.870003,473800
2016-07-06,80.709999,81.900002,80.5,81.25,81.25,1005000
2016-07-07,82.18,83.18,81.379997,81.889999,81.889999,780600
2016-07-08,82.209999,83.300003,81.91999799999999,82.93,82.93,647000
2016-07-11,83.489998,83.769997,82.93,83.370003,83.370003,526000
2016-07-12,83.980003,84.75,83.769997,84.370003,84.370003,735000
2016-07-13,84.370003,84.800003,82.900002,83.059998,83.059998,640200
2016-07-14,83.650002,83.91999799999999,82.959999,83.25,83.25,451800
2016-07-15,83.349998,83.959999,82.0,82.41999799999999,82.41999799999999,564300
2016-07-18,82.400002,82.980003,82.400002,82.870003,82.870003,427200
2016-07-19,83.199997,83.349998,82.739998,82.980003,82.980003,451700
2016-07-20,83.589996,83.910004,83.339996,83.410004,83.410004,557000
2016-07-21,83.68,84.120003,82.309998,82.720001,82.720001,553600
2016-07-22,83.0,84.599998,82.599998,84.589996,84.589996,509600
2016-07-25,84.629997,84.66999799999999,83.769997,84.16999799999999,84.16999799999999,355900
2016-07-26,84.150002,85.660004,84.150002,85.610001,85.610001,467000
2016-07-27,85.57,85.769997,84.559998,85.150002,85.150002,367000
2016-07-28,85.360001,86.199997,84.400002,85.279999,85.279999,1102700
2016-07-29,85.25,89.58000200000001,85.150002,89.150002,89.150002,1811000
2016-08-01,89.489998,90.099998,88.650002,89.690002,89.690002,566200
2016-08-02,89.32,90.610001,89.260002,90.379997,90.379997,800700
2016-08-03,90.519997,92.040001,90.019997,91.949997,91.949997,1043500
2016-08-04,91.980003,92.400002,90.68,91.720001,91.720001,1130700
2016-08-05,92.0,92.610001,91.41999799999999,91.83000200000001,91.83000200000001,879900
2016-08-08,92.209999,92.400002,91.470001,91.800003,91.800003,780000
2016-08-09,91.980003,93.269997,91.870003,93.160004,93.160004,629900
2016-08-10,93.470001,93.900002,93.120003,93.370003,93.370003,705100
2016-08-11,93.379997,95.050003,93.370003,94.629997,94.629997,646800
2016-08-12,94.839996,95.779999,94.559998,95.650002,95.650002,888900
2016-08-15,95.620003,96.129997,94.860001,96.0,96.0,640700
2016-08-16,95.83000200000001,95.93,94.629997,94.709999,94.709999,277700
2016-08-17,94.82,95.0,92.33000200000001,93.029999,93.029999,1081600
2016-08-18,92.489998,95.230003,92.489998,94.709999,94.709999,1060300
2016-08-19,94.470001,95.589996,94.019997,94.82,94.82,411100
2016-08-22,94.519997,95.400002,94.220001,94.400002,94.400002,561600
2016-08-23,94.5,94.599998,93.269997,93.610001,93.610001,805700
2016-08-24,93.599998,93.629997,92.18,92.410004,92.410004,721500
2016-08-25,92.400002,92.709999,90.57,92.019997,92.019997,1019900
2016-08-26,92.099998,93.790001,92.099998,92.66999799999999,92.66999799999999,618600
2016-08-29,92.980003,93.82,92.739998,93.449997,93.449997,571200
2016-08-30,93.510002,93.720001,92.449997,93.190002,93.190002,868600
2016-08-31,93.050003,93.440002,92.339996,92.900002,92.900002,670200
